                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.1265,                0.81176,                 1.2759,                 0.9721,                0.83333,                0.89584,                 0.4197,                 1.8849,                 1.0389,                 1.6263,              0.0014852,              0.0014852,              0.0014852
                    133,                  1.168,                0.85292,                 1.2918,                0.96123,                0.82654,                0.89322,                0.42656,                 1.9897,                 1.0145,                 1.7718,              0.0014812,              0.0014812,              0.0014812
                    134,                 1.1717,                0.83976,                 1.2933,                0.92499,                0.86667,                0.91655,                0.47901,                 1.9389,                0.92251,                 1.6796,              0.0014773,              0.0014773,              0.0014773
                    135,                 1.1923,                0.83032,                 1.2953,                0.88375,                    0.8,                0.84601,                0.41067,                 1.9293,                  1.177,                 1.7127,              0.0014733,              0.0014733,              0.0014733
                    136,                  1.182,                0.84857,                 1.3091,                0.95614,                   0.85,                0.91751,                0.45137,                 1.7918,                0.95361,                 1.6236,              0.0014694,              0.0014694,              0.0014694
                    137,                 1.1132,                0.78571,                 1.2523,                 0.9201,                0.81667,                0.91191,                0.42448,                 2.0162,                 1.2285,                  1.734,              0.0014654,              0.0014654,              0.0014654
                    138,                 1.1255,                0.79514,                 1.2584,                0.94139,                    0.8,                0.88848,                  0.433,                 2.0331,                 1.2076,                 1.7003,              0.0014614,              0.0014614,              0.0014614
                    139,                 1.1233,                0.79241,                 1.2538,                0.86332,                    0.8,                0.86007,                0.42673,                 1.8534,                 1.1231,                 1.6807,              0.0014575,              0.0014575,              0.0014575
                    140,                 1.1385,                0.81655,                  1.276,                0.84913,                0.84428,                0.84706,                0.42288,                 1.9772,                 1.0259,                 1.7239,              0.0014535,              0.0014535,              0.0014535
                    141,                 1.1364,                0.82847,                 1.2625,                0.89436,                0.83333,                0.87831,                0.44243,                 1.8535,                 1.2918,                 1.6981,              0.0014496,              0.0014496,              0.0014496
                    142,                 1.1153,                0.80155,                 1.2534,                  0.933,                0.81667,                0.87383,                 0.4212,                 1.9735,                 1.2508,                 1.7602,              0.0014456,              0.0014456,              0.0014456
                    143,                  1.123,                0.82716,                 1.2729,                0.97896,                0.77557,                 0.8974,                0.45068,                 1.7707,                 1.1409,                 1.6539,              0.0014416,              0.0014416,              0.0014416
